Ticket_ID,Customer_ID,Date_Created,Category,Subcategory,Priority,Resolution_Hours,Customer_Segment,Product,Industry,Outcome,Satisfaction_Rating,Follow_Up_Required
TK001,CC009,2024-07-15,Technical,Login Issues,High,2.5,Small,Analytics Pro,Education,Resolved,3,No
TK002,CC034,2024-07-16,Billing,Invoice Discrepancy,Medium,24.0,Medium,CloudSync,Manufacturing,Resolved,4,No
TK003,CC067,2024-07-17,Technical,Performance Issues,High,8.5,Medium,SecureLink,Healthcare,Resolved,2,Yes
TK004,CC112,2024-07-18,Training,Feature Questions,Low,4.0,Medium,DataVault,Manufacturing,Resolved,5,No
TK005,CC045,2024-07-19,Technical,Data Import Error,High,48.0,Small,Analytics Pro,Education,Escalated,1,Yes
TK006,CC078,2024-07-20,Account,User Management,Medium,6.0,Small,CloudSync,Retail,Resolved,4,No
TK007,CC123,2024-07-21,Technical,Connectivity Issues,High,12.0,Small,SecureLink,Education,Resolved,2,Yes
TK008,CC156,2024-07-22,Billing,Payment Processing,Medium,18.0,Small,SecureLink,Retail,Resolved,3,No
TK009,CC189,2024-07-23,Training,User Onboarding,Low,2.0,Small,Analytics Pro,Education,Resolved,2,Yes
TK010,CC023,2024-07-24,Technical,API Integration,High,36.0,Large,DataVault,Technology,Resolved,4,No
TK011,CC198,2024-07-25,Account,Access Rights,Medium,8.0,Small,CloudSync,Retail,Resolved,4,No
TK012,CC089,2024-07-26,Technical,Dashboard Error,High,16.0,Large,Analytics Pro,Technology,Resolved,3,Yes
TK013,CC145,2024-07-27,Training,Report Generation,Low,6.0,Medium,Analytics Pro,Healthcare,Resolved,2,Yes
TK014,CC167,2024-07-28,Technical,Backup Failure,High,72.0,Large,DataVault,Technology,Escalated,1,Yes
TK015,CC031,2024-07-29,Billing,Contract Renewal,Medium,12.0,Medium,SecureLink,Healthcare,Resolved,3,No
TK016,CC104,2024-07-30,Account,Password Reset,Low,1.0,Large,DataVault,Finance,Resolved,5,No
TK017,CC172,2024-07-31,Technical,Sync Issues,High,24.0,Medium,DataVault,Manufacturing,Resolved,3,Yes
TK018,CC086,2024-08-01,Training,Advanced Features,Low,4.0,Large,CloudSync,Finance,Resolved,5,No
TK019,CC151,2024-08-02,Technical,Mobile App Crash,High,6.0,Medium,SecureLink,Healthcare,Resolved,2,Yes
TK020,CC193,2024-08-03,Account,Licence Upgrade,Medium,48.0,Medium,Analytics Pro,Healthcare,Escalated,1,Yes
TK021,CC118,2024-08-04,Technical,Export Function,Medium,8.0,Medium,CloudSync,Manufacturing,Resolved,4,No
